Isolate ID	Genotype	Predicted Phenotype	Plasmid	Scheme	Sequence Type	Genome Length	N50 value	Number of Contigs Under 1000 bp	Quality Module	Quality Module Feedback
test-Genome-Size-Exactly-Maximum	None	Sensitive	None	-	-	6000000	3000001	0	Passed	
test-Genome-Size-Exactly-Minimum	None	Sensitive	None	-	-	4000000	4000000	0	Passed	
test-Genome-Size-Larger-Than-Maximum	None	Sensitive	None	-	-	7000000	1000000	0	Failed	Genome length is not within the acceptable length range. 
test-Genome-Size-Smaller-Than-Minimum	None	Sensitive	None	-	-	2000000	1000000	0	Failed	Genome length is not within the acceptable length range. 
test-Genome-Size-Unaffected-By-Empty-Contigs	None	Sensitive	None	-	-	6000000	1000000	1	Passed	
test-Genome-Size-Within-Accepted-Range	None	Sensitive	None	-	-	5000000	500000	0	Passed	
test-N50-Calculation	None	Sensitive	None	-	-	40012	10002	0	Failed	Genome length is not within the acceptable length range. 
test-N50-Exactly-Minimum-Value	None	Sensitive	None	-	-	30000	10000	0	Failed	Genome length is not within the acceptable length range. N50 value is not greater than the specified minimum value. 
test-N50-Much-Larger-Than-Minimum-Value	None	Sensitive	None	-	-	470000	100000	0	Failed	Genome length is not within the acceptable length range. 
test-N50-One-BP-Larger-Than-Minimum-Value	None	Sensitive	None	-	-	21111	10001	1	Failed	Genome length is not within the acceptable length range. 
test-N50-Smaller-Than-Minimum-Value	None	Sensitive	None	-	-	155	100	4	Failed	Genome length is not within the acceptable length range. N50 value is not greater than the specified minimum value.  Number of Contigs with a length less than the minimum length exceeds the acceptable number. 
test-N50-Unaffected-By-Empty-Contigs	None	Sensitive	None	-	-	31001	10001	0	Failed	Genome length is not within the acceptable length range. 
